Stock No,v_name,price,chassis,Model,Make,Boby type,Transmission,Model Year,Mileage,Location,Drive,Engine Size,Steering,Color,Fuel,Seats,Doors,Dimension,Weight, Scrap Date,Source,Link
A0308241,Volkswagen Polo 2010,$2800,6RCBZ-072042,POLO,Volkswagen,Hatchback ,Automatic,2010,139151km,Transit,two wheel drive,1200,Right Hand, ,petrol,5,5,3.99mx1.68mx1.47m,,2023-10-20 15:09:21,ufsauto,https://ufsauto.com/a0308241-volkswagen-polo-2010.html
A0308239,MercedesBenz C200 2008,$4200,204041-2A125719,C200,MERCEDES BENZ,Sedan ,Automatic,2008,145018km,Transit,two wheel drive,1800,Right Hand, ,petrol,5,5,4.58×1.77×1.44 m,,2023-10-20 15:09:21,ufsauto,https://ufsauto.com/a0308239-mercedes-enz-c200-2008.html
A0308247,Toyota Raum 2007,$2300,NCZ20-0105278,RAUM,Toyota,Hatchback ,Automatic,2007,177207km,Transit,two wheel drive,1500,Right Hand, ,petrol,5,5,4.04mx1.69mx1.53m,,2023-10-20 15:09:21,ufsauto,https://ufsauto.com/a0308247-toyota-raum-2007.html
A0308253,Honda Fit 2010,$1800,GE6-1407104,FIT,Honda,Hatchback ,Automatic,2010,135825km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,NA,2023-10-20 15:09:22,ufsauto,https://ufsauto.com/a0308253-honda-fit-2010.html
A0308251,Nissan Ad 2015,$0,VY12-183199,AD,Nissan,Hatchback ,Automatic,2015,104924km,Reserved,two wheel drive,1500,Right Hand, ,petrol,5,5,4.39×1.69×1.50 m,NA,2023-10-20 15:09:22,ufsauto,https://ufsauto.com/a0308251-nissan-ad-2015.html
A0308249,Honda Fit 2008,$1700,GE6-1049014,FIT,Honda,Hatchback ,Automatic,2008,146970km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:22,ufsauto,https://ufsauto.com/a0308249-honda-fit-2008.html
B0308122,Mazda Demio 2010,$1800,DE3FS-310641,DEMIO,Mazda,Hatchback ,Automatic,2010,42019km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.88mx1.69mx1.47m,NA,2023-10-20 15:09:23,ufsauto,https://ufsauto.com/b0308122-mazda-demio-2010.html
B0308119,Mazda Demio 2010,$1800,DE3FS-294612,DEMIO,Mazda,Hatchback ,Automatic,2010,119814km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.88mx1.69mx1.47m,NA,2023-10-20 15:09:23,ufsauto,https://ufsauto.com/b0308119-mazda-demio-2010.html
A0308245,Honda Fit 2004,$1800,GD1-2006086,FIT,Honda,Hatchback ,Automatic,2004,117605km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.84×1.67×1.52 m,,2023-10-20 15:09:23,ufsauto,https://ufsauto.com/a0308245-honda-fit-2004.html
A0308244,Nissan Ad 2016,$0,VY12-212512,AD,Nissan,Hatchback ,Automatic,2016,124289km,Reserved,two wheel drive,1500,Right Hand, ,petrol,5,5,4.39×1.69×1.50 m,,2023-10-20 15:09:23,ufsauto,https://ufsauto.com/a0308244-nissan-ad-2016.html
A0308250,Nissan Ad 2015,$0,VY12-183193,AD,Nissan,Hatchback ,Automatic,2015,96710km,Reserved,two wheel drive,1500,Right Hand, ,petrol,5,5,4.39×1.69×1.50 m,,2023-10-20 15:09:23,ufsauto,https://ufsauto.com/a0308250-nissan-ad-2015.html
A0308246,Toyota Ractis 2006,$2100,NCP100-0046915,RACTIS,Toyota,Hatchback ,Automatic,2006,138066km,Transit,two wheel drive,1500,Right Hand, ,petrol,5,5,3.95mx1.69mx1.64m,,2023-10-20 15:09:23,ufsauto,https://ufsauto.com/a0308246-toyota-ractis-2006.html
B0308103,Honda Fit 2010,$1800,GE6-1326333,FIT,Honda,Hatchback ,Automatic,2010,126750km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:24,ufsauto,https://ufsauto.com/b0308103-honda-fit-2010.html
A0308242,Nissan X-Trail 2000,$2400,NT30-005806,X-TRAIL,Nissan,Suv ,Automatic,2000,86451km,Transit,two wheel drive,2000,Right Hand, ,petrol,5,5,4.45×1.76×1.75 m,,2023-10-20 15:09:24,ufsauto,https://ufsauto.com/a0308242-nissan-x-trail-2000.html
A0308248,Honda Fit 2010,$1800,GE6-1405294,FIT,Honda,Hatchback ,Automatic,2010,55179km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:24,ufsauto,https://ufsauto.com/a0308248-honda-fit-2010.html
B0308120,Mazda Demio 2008,$1800,DE3FS-150036,DEMIO,Mazda,Hatchback ,Automatic,2008,85954km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.88mx1.69mx1.47m,NA,2023-10-20 15:09:24,ufsauto,https://ufsauto.com/b0308120-mazda-demio-2008.html
B0308101,Mazda Demio 2010,$1900,DE3FS-305744,DEMIO,Mazda,Hatchback ,Automatic,2010,137625km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.88mx1.69mx1.47m,,2023-10-20 15:09:24,ufsauto,https://ufsauto.com/b0308101-mazda-demio-2010.html
B0308102,Honda Fit 2009,$1800,GE6-1187656,FIT,Honda,Hatchback ,Automatic,2009,181613km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:24,ufsauto,https://ufsauto.com/b0308102-honda-fit-2009.html
B0308105,Honda Fit 2009,$1800,GE6-1237750,FIT,Honda,Hatchback ,Automatic,2009,113421km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:24,ufsauto,https://ufsauto.com/b0308105-honda-fit-2009.html
B0308108,Honda Fit 2008,$1800,GE6-1112642,FIT,Honda,Hatchback ,Automatic,2008,172462km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,NA,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308108-honda-fit-2008.html
B0308099,Honda Fit 2009,$1800,GE6-1278389,FIT,Honda,Hatchback ,Automatic,2009,196385km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308099-honda-fit-2009.html
B0308113,Honda Fit 2002,$1900,GD1-1168671,FIT,Honda,Hatchback ,Automatic,2002,136599km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.84×1.67×1.52 m,NA,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308113-honda-fit-2002.html
B0308111,Honda Fit 2005,$1700,GD1-2220786,FIT,Honda,Hatchback ,Automatic,2005,143402km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.84×1.67×1.52 m,NA,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308111-honda-fit-2005.html
B0308117,Mazda Demio 2009,$1900,DE3FS-201784,DEMIO,Mazda,Hatchback ,Automatic,2009,66612km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.88mx1.69mx1.47m,NA,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308117-mazda-demio-2009.html
B0308104,Honda Fit 2010,$1800,GE6-1354228,FIT,Honda,Hatchback ,Automatic,2010,76278km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308104-honda-fit-2010.html
B0308118,Mazda Demio 2008,$1800,DE3FS-176010,DEMIO,Mazda,Hatchback ,Automatic,2008,125182km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.88mx1.69mx1.47m,NA,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308118-mazda-demio-2008.html
B0308114,Honda Fit 2008,$1800,GE6-1141377,FIT,Honda,Hatchback ,Automatic,2008,129575km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,NA,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308114-honda-fit-2008.html
B0308107,Honda Fit 2010,$1700,GE6-3000774,FIT,Honda,Hatchback ,Automatic,2010,150110km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.92mx1.69mx1.52m,,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308107-honda-fit-2010.html
B0308115,Mazda Demio 2008,$1800,DE3FS-163916,DEMIO,Mazda,Hatchback ,Automatic,2008,95302km,Transit,two wheel drive,1300,Right Hand, ,petrol,5,5,3.88mx1.69mx1.47m,NA,2023-10-20 15:09:25,ufsauto,https://ufsauto.com/b0308115-mazda-demio-2008.html
